lng,lat,num
116.4613266,39.87170792,31
116.46096802,39.8719902,19
116.46099091,39.87450409,67
116.48103333,39.87979507,6
116.4821167,39.88412476,8
116.47399902,39.87582779,2
116.47773743,39.88775253,7
116.48225403,39.88199234,7
116.46074677,39.89336395,15
116.46244049,39.89461517,26
116.4649353,39.89165497,21
116.46157074,39.89508057,13
116.46157837,39.92422867,2
116.4603653,39.92641449,2
116.46168518,39.92406082,3
116.46168518,39.9240799,3
116.46495819,39.93150711,3
116.4618454,39.93080139,12
116.45280457,39.9336319,2
116.45381927,39.93363571,2
116.46353912,39.93428802,9
116.20652771,39.82000732,4
116.20694733,39.81948471,5
116.45791626,39.91520309,4
116.45895386,39.88857269,4
116.45815277,39.8909111,2
116.44699097,39.84508896,5
116.44684601,39.84542084,2
116.44431305,39.84215546,10
116.44060516,39.84571457,5
116.44034576,39.8468132,3
116.43575287,39.85046005,5
116.4336853,39.84945679,4
116.4336319,39.84874725,2
116.4309082,39.85120392,4
116.42835236,39.85155869,3
116.42845154,39.85318756,2
116.42641449,39.84909821,18
116.42645264,39.8490448,10
116.43841553,39.83776474,25
116.41898346,39.84561539,2
116.41812897,39.84210587,4
116.46437836,39.94970322,2
116.4618454,39.94381714,3
116.47875977,39.8544693,2
116.47884369,39.85440445,3
116.46724701,39.88450241,2
116.46154022,39.88632965,2
116.46142578,39.88612366,5
116.46731567,39.88452148,4
116.46491241,39.88297653,4
116.47731018,39.88440323,8
116.47640228,39.92915344,41
116.46194458,39.93484497,19
116.54138184,39.96577835,8
116.54573059,39.96664429,3
116.54483795,39.96590042,12
116.23413849,40.21479797,2
116.23371124,40.21532059,5
116.53528595,39.96950912,4
116.54013062,39.97363663,2
116.53681183,39.97006989,2
116.55994415,39.96148682,11
116.34490967,39.77774048,3
116.34114838,39.77713776,3
116.4225769,39.83580017,9
116.43042755,39.82721329,2
116.42206573,39.83590698,10
116.44821167,39.9084549,2
116.41244507,39.89851761,2
116.41161346,39.89282608,2
116.4152832,39.89422226,2
116.42823792,39.84589005,8
116.42848969,39.84757233,3
116.42858124,39.85652924,10
116.43093109,39.85404587,9
116.19992065,39.93295288,4
116.20030212,39.93196487,2
116.19983673,39.9344368,2
116.2022171,39.93403625,2
116.48744202,39.99591064,4
116.45888519,39.88989258,7
116.45834351,39.89049911,11
116.4590683,39.8840332,43
116.47241974,40.00061798,2
116.39098358,39.85704422,22
116.38256073,39.85573578,10
116.38670349,39.85698318,6
116.38792419,39.85745239,24
116.39356995,39.86011124,7
116.46255493,40.00076675,3
116.46193695,40.00080109,2
116.46417999,40.00114441,4
116.12154388,39.67141342,4
116.1370697,39.66802979,3
116.18710327,39.90942001,2
116.18211365,39.90670013,2
116.19010925,39.90764236,2
116.20763397,39.9056282,2
116.22328949,39.89695358,2
116.41307831,39.84393692,10
116.41449738,39.83950043,4
116.41509247,39.83806992,5
116.29631805,39.69731522,3
116.29547119,39.69795227,3
116.29082489,39.69681549,2
116.43791962,39.8469429,22
116.43828583,39.84683228,3
116.4225769,39.84585953,25
116.42814636,39.84580231,44
116.4280777,39.84597778,24
116.42722321,39.84592438,6
116.50974274,39.86825943,4
116.4479599,39.95679092,3
116.45040131,39.9563446,3
116.462677,39.95667267,5
116.46385193,39.95969391,6
116.53138733,39.90965271,3
116.534935,39.91128922,2
116.53266144,39.9096756,2
116.41744995,39.83225632,4
116.41707611,39.83226395,8
116.45089722,39.79062653,2
116.39258575,39.76019287,2
116.3870697,39.75883484,2
116.37742615,39.75992966,3
116.47810364,39.92629242,11
116.47920227,39.92617416,4
116.4684906,39.9289093,4
116.47907257,39.91543198,7
116.48360443,39.91548157,2
116.48327637,39.91565323,2
116.39699554,39.83172607,13
116.4034729,39.81140137,3
116.40040588,39.83259583,4
116.47068024,39.8484993,2
116.47216797,39.84505463,3
116.46923065,39.84371567,5
116.47131348,39.89341354,27
116.47093964,39.89334869,18
116.47298431,39.89344406,30
116.48454285,39.89321899,15
116.47729492,39.89234161,8
116.47972107,39.89323425,9
116.47166443,39.92675781,27
116.47645569,39.88433075,3
116.47727203,39.88630295,4
116.30989838,39.91026306,4
116.3063736,39.9092865,2
116.43305206,39.97313309,2
116.43648529,40.05222702,2
116.43482971,40.05147552,2
116.43280792,40.05107498,2
116.48983765,39.91262436,4
116.46162415,39.90363693,3
116.46183014,39.93557358,31
116.50823975,39.92314529,5
116.50025177,39.9213562,5
116.49932098,39.92301559,6
116.46173859,39.89380264,23
116.46773529,39.8883667,9
116.46677399,39.89099884,4
116.06062317,39.70394897,4
116.06137848,39.71396255,6
116.05509949,39.71180344,6
116.45793915,39.88694,16
116.46067047,39.8842392,37
116.46142578,39.88953781,43
116.33404541,39.923069,3
116.33120728,39.92642593,2
116.33065796,39.92378235,2
116.33476257,39.91893387,2
116.47345734,39.88474655,6
116.47317505,39.88437653,7
116.3875885,39.85059357,13
116.38735199,39.85227203,6
116.39048767,39.85245514,3
116.54392242,39.91453934,4
116.54340363,39.92116547,2
116.50981903,39.98846436,5
116.4823761,40.01376343,2
116.46808624,40.01572037,3
116.13579559,39.73015213,2
116.13606262,39.73067856,2
116.12682343,39.72327423,2
116.13619232,39.72324371,2
116.20770264,39.76730728,4
116.20814514,39.76822281,6
116.45710754,39.88097763,4
116.46019745,39.88301849,17
116.45191193,39.8914566,2
116.6052475,39.91573715,13
116.60522461,39.91594696,8
116.60529327,39.91465759,2
116.45834351,39.88685226,3
116.45566559,39.88799286,3
116.60533905,39.91959,11
116.60591125,39.92549515,9
116.59931183,39.91630173,3
116.6097641,39.92420197,4
116.59555054,39.91255569,6
116.608078,39.92963409,4
116.60501862,39.92926025,4
116.61013794,39.92446518,3
116.61026764,39.92433929,2
116.61447144,39.9261322,2
116.61373138,39.92891312,2
116.58338165,39.92472076,5
116.61595917,39.92461014,15
116.583992,39.92338181,2
116.47637939,40.00415421,4
116.47660828,40.00402069,2
116.47844696,40.00511932,3
116.44293213,39.85818863,11
116.44088745,39.85870743,40
116.43862152,39.8610611,12
116.43867493,39.8571701,3
116.47940826,39.87870407,6
116.47743225,39.86940765,8
116.48986053,39.87498093,3
116.54033661,39.96682358,15
116.5663681,39.96196747,4
116.5559082,39.9600029,12
116.55683136,39.96863937,3
116.5553894,39.95822144,4
116.55678558,39.95326614,5
116.56549835,39.95690536,5
116.48965454,39.87421799,5
116.49304199,39.87110519,2
116.43177032,39.8443718,12
116.40385437,39.85695267,8
116.40085602,39.86725616,3
116.36787415,39.85566711,3
116.35366058,39.84573364,3
116.45574951,39.80961609,3
116.45450592,39.80711746,2
116.45587158,39.80712128,2
116.47816467,39.90899658,19
116.48931885,39.90885925,6
116.48239899,39.91061401,2
116.45880127,39.95512772,2
116.28043365,39.94311523,2
